NAME,HUC6,OBJECTID,N,HDIdgi,oc,clay,silt,sand,wpg2,wp,fc,tp,ep,Ks,wsolidityu2,wroundu2,wsizemean,wgrademean,denvfroots,denfroots,denmroots,dencoroots,etDp2000,etDp2001,etDp2002,etDp2003,etDp2004,etDp2005,etDp2006,etDp2007,etDp2008,etDp2009,etDp2010,etDp2011,etDp2012,etDp2013,etDp2014,petDp2000,petDp2001,petDp2002,petDp2003,petDp2004,petDp2005,petDp2006,petDp2007,petDp2008,petDp2009,petDp2010,petDp2011,petDp2012,petDp2013,petDp2014,n,asinHDIdgi,log10oc,sqrtclay,sqrtsand,log10wpg2,sqrtwp,log10tp,sqrtep,sqrtKs,angularwsolidityu2,asinwroundu2,log10wsizemean,log10wgrademean,log10denvfroots,log10denfroots,log10denmroots,log10dencoroots,sqrtn
Alabama,31502,39,48,0.631998884,1.654000014,13.81041673,31.10208337,55.08958362,7.133333333,0.078288334,0.192299996,0.396226421,0.203926425,76.21300773,0.928,0.764,3.051448196,1.066666667,0,0.075670274,0.00273488,0.002768196,0.896113111,0.684014222,0.599994222,0.611224,0.703909333,0.643272667,0.734450889,1.021480667,0.721592889,0.491879778,0.842300667,0.779495778,0.692145333,0.571144667,0.675675333,1.792832,1.100841556,0.935928667,0.913846,1.133261778,1.027722222,1.349668444,1.825045111,1.185187111,0.767143778,1.370315556,1.295568889,1.147073333,0.933162222,1.068986,1.734078565,0.918980503,0.218535509,3.716236904,7.422235756,0.853292519,0.279800525,-0.402056568,0.451582135,8.73000617,1.141904435,1.063520064,0.484506001,0.028028724,-5,-1.121074696,-2.563061652,-2.557803204,1.316844169
Allegheny,50100,275,53,0.23984795,2.18539999,21.36415103,57.23396251,21.4018868,10.5,0.228015,0.364168,0.523450135,0.153190488,19.51879527,0.920663304,0.760685408,3.201521606,1.25734367,0.002251894,0.026544652,0,0,0.635040943,0.747340566,0.59183717,0.529072453,0.483511321,0.624123962,0.530243962,0.565117925,0.564393208,0.594686415,0.628201509,0.464133774,0.585139245,0.57855566,0.576244151,1.134743962,1.358443962,1.009576604,0.865786981,0.782447736,1.097874717,0.943147925,0.981067925,0.989554906,1.034446604,1.152087925,0.752845472,1.074708679,0.966447736,0.998533019,1.280486411,0.511794659,0.339530937,4.622137063,4.626217331,1.021189299,0.477509163,-0.281124684,0.391395564,4.418008065,1.130341448,1.05962646,0.505356437,0.099454,-2.647452131,-1.576022972,-6,-5,1.131585795
Altamaha,30701,117,10,0.665896517,1.259999984,21.71000009,27.02999992,51.26000004,2.2,0.136236668,0.230811114,0.406708596,0.175897483,42.97663468,0.915415942,0.789168117,4.164209982,1,0,0.072867671,0,0,0.892527,0.962283,0.727515,0.680885,0.815148,0.738283,0.881269,0.978498,0.877248,0.612644,0.819243,0.948634,0.993136,0.58255,0.818981,1.684979,1.563811,1.131355,1.00254,1.284389,1.152914,1.628285,1.7744,1.499948,0.970187,1.250689,1.573163,1.578487,0.923587,1.337369,2.246754101,0.954499986,0.10037054,4.659399112,7.159608931,0.342422681,0.369102517,-0.390716648,0.419401338,6.555656693,1.122496442,1.093742053,0.619532621,0,-5,-1.137465112,-6,-5,1.498917643
Androscoggin,10400,175,1,0,4.329999924,5.900000095,46.79999924,47.29999924,18,0.132000003,0.375999999,0.64528302,0.26928302,129.6190004,0.93,0.76,2.849820372,2,0.004423362,0,0,0,0.60127,0.8578,0.68795,0.61181,0.73474,0.43449,0.48795,0.60297,0.43715,0.45672,0.51493,0.50214,0.5842,0.52926,0.51356,0.85281,1.20029,0.97384,0.88004,1.06525,0.62496,0.72421,0.85385,0.62926,0.65732,0.7429,0.71697,0.85167,0.78006,0.72809,1.609843226,0,0.636487889,2.42899158,6.87749949,1.255272505,0.363318046,-0.190249763,0.51892487,11.38503405,1.145191014,1.058823639,0.454817487,0.301029996,-2.354247472,-3,-6,-5,1.268795975
Apalachicola,31300,115,27,0.759419009,1.034444445,9.211111087,15.84074084,74.94814908,4.5,0.11627667,0.179191666,0.399371072,0.220179406,65.6411146,0.928695652,0.762608696,2.040177681,1.130434783,0,0.063279819,0.001320871,0.000826485,0.66149375,0.691126667,0.581915,0.60983125,0.641635833,0.615095,0.7535,0.735731667,0.596002917,0.474439167,0.8144975,0.76618625,0.759187917,0.474304167,0.59971375,1.775055417,1.398228333,1.080236667,1.070307917,1.2732475,1.150659167,1.753559167,1.645452083,1.1718675,0.863973333,1.550075833,1.617217083,1.483569583,0.8860175,1.09223875,1.28917012,1.058143736,0.014707172,3.034981233,8.657259906,0.653212514,0.340993651,-0.398623396,0.469232785,8.101920426,1.143040628,1.061883442,0.309667992,0.053245512,-5,-1.198734769,-2.879139576,-3.082764901,1.135416276
Arkansas-Keystone,110600,270,12,0.551008209,0.899999998,25.68333292,55.14999994,19.16666643,0.3,0.111900002,0.264524998,0.526415096,0.261890099,112.0409009,0.888415706,0.599220209,5.410361242,1.555555556,0.001344243,0.058888975,0.000100834,0,0.4223875,0.621636667,0.3809625,0.489505833,0.428476667,0.499725,0.460925,0.436356667,0.38758,0.42701,0.538945,0.4610975,0.574335,0.490670833,0.565575,2.050841667,2.9561975,1.628668333,2.175260833,1.634161667,2.212495833,3.1999575,1.374103333,1.55412,1.844425,1.90552,3.24876,3.5561825,2.009313333,2.647338333,0.643739969,0.836495266,-0.045757492,5.067872623,4.377975152,-0.522878745,0.334514577,-0.278671665,0.511751989,10.58493745,1.086432471,0.885281382,0.733226263,0.191885526,-2.87152234,-1.229966007,-3.996391496,-5,0.802334076
Atchafalaya-Vermillion,80801,159,3,0.675392516,1.273333331,15.4333332,52.39999898,32.16666762,0,0.04104,0.166099999,0.430188683,0.264088684,138.9402529,0.866666667,0.533333333,1.688165034,2,0,0.327904519,0,0.082441902,0.519856667,0.40981,0.354066667,0.469066667,0.41382,0.533123333,0.474433333,0.498826667,0.476643333,0.39087,0.612373333,0.610986667,0.4409,0.42553,0.494813333,1.388846667,0.900553333,0.725336667,0.918093333,0.831393333,1.18063,1.081743333,0.991386667,1.003343333,0.82271,1.261096667,1.403586667,0.897086667,0.85984,0.976653333,0.937509703,0.9646028,0.104942107,3.928528121,5.671566593,-2,0.202583317,-0.366341019,0.513895597,11.78729201,1.061211327,0.818756238,0.227414901,0.301029996,-5,-0.484252599,-6,-1.083851996,0.968250847
Belle Fourche,101202,291,12,0.469558976,1.794166684,25.80833302,34.96666638,39.2250002,0.222222222,0.167646009,0.315063997,0.535094342,0.220030345,77.60011884,0.901555258,0.658197766,1.486155916,1.348727351,0.004423362,0,0.000392134,0,0.71653,0.90737,0.947143333,0.786139167,0.875010833,0.735164167,0.854365833,0.75692,0.60104,0.771081667,0.783810833,0.699731667,0.817950833,0.630685,0.826439167,4.034583333,4.673484167,5.230480833,3.988255,5.0940425,4.096101667,4.971810833,3.741929167,2.609308333,3.358496667,3.378778333,2.758021667,6.286240833,2.724810833,3.289271667,0.968270467,0.754938302,0.253862788,5.080190254,6.262986524,-0.653212514,0.409445978,-0.271569641,0.469073923,8.809092964,1.103189391,0.946361864,0.172064375,0.129924165,-2.354247472,-3,-3.406565949,-5,0.984007351
Big Blue,102702,147,65,0.446866037,1.808571427,26.14461541,62.92153837,10.93384617,0.015625,0.189701665,0.354490691,0.488744303,0.134253612,20.90439705,0.904247649,0.686452794,2.975113962,1.377856336,0.000773315,0.086480313,0.001297057,0,0.754740615,0.628875077,0.791456308,0.704108769,0.717983231,0.720985231,0.636061692,0.579878,0.585385692,0.871973692,0.737398462,0.722166308,0.739763846,0.702859077,0.708621846,2.691153846,1.929286615,2.729002769,2.295144615,2.090607385,2.24855,2.268845385,1.55856,1.556587231,2.441697077,1.933509231,2.013669385,3.049299846,2.007122615,2.036608462,1.063150051,0.732163683,0.257335665,5.113180557,3.306636686,-1.806179974,0.435547547,-0.310918292,0.366406348,4.572132658,1.106795876,0.976467424,0.473503606,0.139203938,-3.111643501,-1.063082749,-2.887040846,-5,1.031091679
Big Cypress-Sulphur,111403,323,12,0.654073536,1.355999985,10.71666679,31.57499997,57.70833413,0.142857143,0.228826667,0.34075,0.454716973,0.100759426,6.639551437,0.921428571,0.777142857,2.620767228,1.142857143,0.001263818,0.089225719,0.00123242,0.005047463,0.483305833,0.497209167,0.7493475,0.969228333,0.6798775,1.075809167,0.669983333,0.679401667,0.635606667,0.432680833,0.9206475,0.714269167,0.763021667,0.62807,0.753109167,1.174594167,0.95149,1.2771075,1.777905,1.216643333,2.420795,1.6037275,1.133463333,1.235641667,0.839228333,1.669544167,2.074335833,1.539945833,1.348154167,1.6447075,1.437620727,0.942020518,0.132259685,3.273632048,7.596600169,-0.84509804,0.478358304,-0.342258835,0.317426253,2.576732706,1.131513707,1.079150434,0.418428449,0.057991947,-2.898315517,-1.049509942,-2.909241308,-2.296926822,1.199008226
