NAME,HUC6,OBJECTID,N,oc,wsolidityu2,wroundu2,ndvimean,etDp2000,etDp2001,etDp2002,etDp2003,etDp2004,etDp2005,etDp2006,etDp2007,etDp2008,etDp2009,etDp2010,etDp2011,etDp2012,etDp2013,etDp2014,etDp15year,petDp2000,petDp2001,petDp2002,petDp2003,petDp2004,petDp2005,petDp2006,petDp2007,petDp2008,petDp2009,petDp2010,petDp2011,petDp2012,petDp2013,petDp2014,petDp15year,n,log10oc,angularwsolidityu2,sqrtwroundu2,log10petDp15year,sqrtn,STlog10oc,STangularwsolidityu2,STsqrtwroundu2,STsqrtn
Alabama,31502,39,48,1.654000014,0.928,0.764,0.685358345,0.896113111,0.684014222,0.599994222,0.611224,0.703909333,0.643272667,0.734450889,1.021480667,0.721592889,0.491879778,0.842300667,0.779495778,0.692145333,0.571144667,0.675675333,0.711246237,1.792832,1.100841556,0.935928667,0.913846,1.133261778,1.027722222,1.349668444,1.825045111,1.185187111,0.767143778,1.370315556,1.295568889,1.147073333,0.933162222,1.068986,1.189772178,1.734078565,0.218535509,1.141904435,0.874070935,0.075463809,1.316844169,-0.069616981,0.863703666,0.448251627,1.370336135
Allegheny,50100,275,53,2.18539999,0.920663304,0.760685408,0.583246303,0.635040943,0.747340566,0.59183717,0.529072453,0.483511321,0.624123962,0.530243962,0.565117925,0.564393208,0.594686415,0.628201509,0.464133774,0.585139245,0.57855566,0.576244151,0.579842818,1.134743962,1.358443962,1.009576604,0.865786981,0.782447736,1.097874717,0.943147925,0.981067925,0.989554906,1.034446604,1.152087925,0.752845472,1.074708679,0.966447736,0.998533019,1.00944761,1.280486411,0.339530937,1.130341448,0.872172808,0.004083784,1.131585795,0.384838452,0.543141442,0.422644408,0.399109546
Altamaha,30701,117,10,1.259999984,0.915415942,0.789168117,0.638753449,0.892527,0.962283,0.727515,0.680885,0.815148,0.738283,0.881269,0.978498,0.877248,0.612644,0.819243,0.948634,0.993136,0.58255,0.818981,0.821922933,1.684979,1.563811,1.131355,1.00254,1.284389,1.152914,1.628285,1.7744,1.499948,0.970187,1.250689,1.573163,1.578487,0.923587,1.337369,1.357073533,2.246754101,0.10037054,1.122496442,0.888351348,0.132603381,1.498917643,-0.51344129,0.32565332,0.640905578,2.324865721
Androscoggin,10400,175,1,4.329999924,0.93,0.76,0.60031212,0.60127,0.8578,0.68795,0.61181,0.73474,0.43449,0.48795,0.60297,0.43715,0.45672,0.51493,0.50214,0.5842,0.52926,0.51356,0.570462667,0.85281,1.20029,0.97384,0.88004,1.06525,0.62496,0.72421,0.85385,0.62926,0.65732,0.7429,0.71697,0.85167,0.78006,0.72809,0.818768,1.609843226,0.636487889,1.145191014,0.871779789,-0.086839139,1.268795975,1.500200433,0.954817933,0.417342264,1.118440998
Apalachicola,31300,115,27,1.034444445,0.928695652,0.762608696,0.620204095,0.66149375,0.691126667,0.581915,0.60983125,0.641635833,0.615095,0.7535,0.735731667,0.596002917,0.474439167,0.8144975,0.76618625,0.759187917,0.474304167,0.59971375,0.651644056,1.775055417,1.398228333,1.080236667,1.070307917,1.2732475,1.150659167,1.753559167,1.645452083,1.1718675,0.863973333,1.550075833,1.617217083,1.483569583,0.8860175,1.09223875,1.320780389,1.28917012,0.014707172,1.143040628,0.873274697,0.120830612,1.135416276,-0.835190498,0.895202504,0.437509742,0.419191042
Arkansas-Keystone,110600,270,12,0.899999998,0.888415706,0.599220209,0.454059339,0.4223875,0.621636667,0.3809625,0.489505833,0.428476667,0.499725,0.460925,0.436356667,0.38758,0.42701,0.538945,0.4610975,0.574335,0.490670833,0.565575,0.479012611,2.050841667,2.9561975,1.628668333,2.175260833,1.634161667,2.212495833,3.1999575,1.374103333,1.55412,1.844425,1.90552,3.24876,3.5561825,2.009313333,2.647338333,2.266489722,0.643739969,-0.045757492,1.086432471,0.774093152,0.355353754,0.802334076,-1.062294077,-0.674152915,-0.900527007,-1.327009587
Atchafalaya-Vermillion,80801,159,3,1.273333331,0.866666667,0.533333333,0.586852155,0.519856667,0.40981,0.354066667,0.469066667,0.41382,0.533123333,0.474433333,0.498826667,0.476643333,0.39087,0.612373333,0.610986667,0.4409,0.42553,0.494813333,0.475008,1.388846667,0.900553333,0.725336667,0.918093333,0.831393333,1.18063,1.081743333,0.991386667,1.003343333,0.82271,1.261096667,1.403586667,0.897086667,0.85984,0.976653333,1.016153333,0.937509703,0.104942107,1.061211327,0.730296743,0.006959246,0.968250847,-0.496270611,-1.373362019,-1.491374885,-0.457182349
Belle Fourche,101202,291,12,1.794166684,0.901555258,0.658197766,0.300102988,0.71653,0.90737,0.947143333,0.786139167,0.875010833,0.735164167,0.854365833,0.75692,0.60104,0.771081667,0.783810833,0.699731667,0.817950833,0.630685,0.826439167,0.7806255,4.034583333,4.673484167,5.230480833,3.988255,5.0940425,4.096101667,4.971810833,3.741929167,2.609308333,3.358496667,3.378778333,2.758021667,6.286240833,2.724810833,3.289271667,4.015707722,0.968270467,0.253862788,1.103189391,0.811293884,0.603762096,0.984007351,0.063071288,-0.209598613,-0.39865999,-0.374578063
Big Blue,102702,147,65,1.808571427,0.904247649,0.686452794,0.430661239,0.754740615,0.628875077,0.791456308,0.704108769,0.717983231,0.720985231,0.636061692,0.579878,0.585385692,0.871973692,0.737398462,0.722166308,0.739763846,0.702859077,0.708621846,0.70681719,2.691153846,1.929286615,2.729002769,2.295144615,2.090607385,2.24855,2.268845385,1.55856,1.556587231,2.441697077,1.933509231,2.013669385,3.049299846,2.007122615,2.036608462,2.189976297,1.063150051,0.257335665,1.106795876,0.828524468,0.340439414,1.031091679,0.076115318,-0.109615544,-0.166205908,-0.127736043
Big Cypress-Sulphur,111403,323,12,1.355999985,0.921428571,0.777142857,0.632639474,0.483305833,0.497209167,0.7493475,0.969228333,0.6798775,1.075809167,0.669983333,0.679401667,0.635606667,0.432680833,0.9206475,0.714269167,0.763021667,0.62807,0.753109167,0.7101045,1.174594167,0.95149,1.2771075,1.777905,1.216643333,2.420795,1.6037275,1.133463333,1.235641667,0.839228333,1.669544167,2.074335833,1.539945833,1.348154167,1.6447075,1.460485556,1.437620727,0.132259685,1.131513707,0.881557064,0.164497266,1.199008226,-0.393666556,0.575640129,0.549245369,0.752575123
